#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
558,28.5825,36.629806,G,5112.960371,0.017055,,65,1,58,13,12,7,,10,18,1,3
559,28.556292,18.101778,G,4930.986349,0.016448,,33,1,46,15,10,6,,3,11,1,3
560,28.601695,13.541129,G,6229.387665,0.020779,,26,,31,9,7,9,1,,4,6,
561,28.630076,17.674247,G,6887.132138,0.022973,,27,,15,9,9,4,1,3,8,,3
562,28.689417,39.383528,G,5597.125191,0.01867,,59,1,59,16,14,8,,11,16,2,2
563,28.64375,16.866667,G,5115.958296,0.017065,,20,,23,8,7,5,1,3,11,,2
564,28.600167,5.421889,G,4946.875349,0.016501,,23,1,39,11,8,6,,4,7,1,1
565,28.657167,17.0758,G,4764.00195,0.015891,,21,,24,10,7,3,1,7,15,,2
566,28.724125,36.917944,G,5621.108588,0.01875,,149,4,126,33,22,7,,6,11,7,3
567,28.740208,37.343,G,4600.914853,0.015347,,30,2,34,11,7,3,,2,5,1,1
568,28.74475,35.422806,G,4647.082891,0.015501,,48,1,38,15,9,3,,3,4,1,5
569,28.757833,36.919917,G,5621.108588,0.01875,,41,,56,14,7,4,,1,8,1,4
570,28.670833,6.034917,G,5240.971751,0.017482,,25,1,37,11,8,6,,4,8,1,2
571,28.795,36.260722,G,4540.056984,0.015144,,47,2,51,14,9,7,,1,14,1,3
572,28.80825,35.458556,G,5703.851306,0.019026,,31,,48,11,6,2,,1,8,1,3
573,28.838458,36.306917,G,4367.976113,0.01457,,42,1,43,10,9,5,,1,5,1,2
574,28.592208,-49.260583,G,5932.892744,0.01979,,15,,46,10,9,15,,3,4,3,1
575,28.778833,5.373583,G,5506.887661,0.018369,,22,,37,11,8,3,,3,5,1,3
576,28.816,10.013667,G,5901.114743,0.019684,,58,,51,16,12,6,,11,19,1,3
577,28.841829,6.611847,G,5163.925089,0.017225,,170,11,76,20,16,7,,5,15,5,5
578,29.013542,17.532056,G,8201.122481,0.027356,,16,,23,9,7,2,,3,6,1,3
579,29.036917,17.641278,G,11345.045988,0.037843,,25,,46,15,10,7,,3,9,1,3
580,29.099208,37.215861,G,4472.903473,0.01492,,43,2,69,11,10,9,,9,19,2,1
581,29.087875,37.452194,G,4966.961444,0.016568,,43,1,44,12,9,5,,6,14,1,1
582,29.063476,13.165849,G,7663.894396,0.025564,,38,,83,14,11,14,,3,9,10,3
583,29.046244,6.744941,G,5085.079673,0.016962,,42,,44,18,11,7,,3,6,1,3
