#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
257 15.338375 31.507722 -543.4251  61.00264384 0.01859300  0.02044273
258 15.278708 -26.058333 -230.0168  57.88144677 0.01861000  0.01939213
259 15.442 3.082028  116.7040  42.42871418 0.01459300  0.01419819
260 15.395917 -59.741528 -131.1940  85.08533789 0.02811600  0.02856612
261 15.602208 -1.958861  133.6043  39.52760590 0.01367600  0.01322445
262 15.701125 -6.411583 -560.0570  63.14663342 0.01925700  0.02116469
263 15.818292 22.342667 -135.0553  47.84921740 0.01556100  0.01601871
264 15.859958 32.237361 -604.7667  58.70104711 0.01761100  0.01966796
265 15.841167 -6.339222 -125.3754  25.14600062 0.00798200  0.00840372
266 15.810125 -43.011333 -275.6410  73.62958237 0.02375600  0.02469815
267 15.96 22.027778 -444.0711  60.90988397 0.01890000  0.02041150
268 15.9845 -2.262333 -256.6081  158.34290050 0.05256600  0.05346772
269 16.069998 -1.074994 -318.4277  56.06547370 0.01769900  0.01878111
270 16.063236 -1.11431 -544.6757  59.20293471 0.01798400  0.01983688
271 16.017917 -46.226167 -25.5762  67.36609924 0.02249900  0.02258624
272 16.029333 -51.133056 -184.1221  78.13416418 0.02558800  0.02621827
273 16.078 -35.121417 -195.2387  100.75838820 0.03319600  0.03386930
274 15.191208 -85.522944 -58.9896  47.00437281 0.01553500  0.01573486
275 16.124042 -51.460472 -107.6109  74.67827153 0.02468400  0.02505194
276 16.329083 31.682167 -523.2878  63.58609854 0.01953000  0.02131270
277 16.320333 -42.9145 -100.0752  89.02461636 0.02955400  0.02989780
278 16.408208 -47.071722  129.6617  56.38713244 0.01933000  0.01888933
279 16.540167 31.405778 -468.3607  66.95694515 0.02085100  0.02244835
280 16.541883 1.233114  nan  nan 0.00002200  nan
281 16.561417 -46.501139 -216.8371  92.83548342 0.03044100  0.03118685
282 16.8865 39.400139 -560.5891  64.10387244 0.01957700  0.02148710
283 16.77675 -42.008389 -244.2744  72.09495309 0.02334600  0.02418051
284 16.793833 -42.391972 -140.6288  81.09155933 0.02673500  0.02721685
285 16.989208 33.303028  456.7774  37.40799353 0.01405600  0.01251329
286 16.9835 2.545861  36.6521  99.47232744 0.03356000  0.03343365
287 16.854375 -69.879167 -48.0543  15.54440104 0.00503000  0.00519112
288 17.045167 -46.094056  169.0783  58.57621346 0.02020100  0.01962595
289 17.166967 1.356898 -544.6757  59.04815986 0.01793200  0.01978479
290 17.104344 -23.505274 -125.3767  81.24481792 0.02683900  0.02726862
291 17.069875 -46.754028 -25.5762  68.30672537 0.02281600  0.02290327
292 17.095625 -47.098778 -25.5762  66.38675250 0.02216900  0.02225621
293 17.246667 32.634306 -604.7667  57.58151068 0.01723500  0.01929120
294 17.308458 32.151333 -348.7389  49.76840659 0.01548100  0.01666365
295 17.309 32.752139 -587.4117  56.64050852 0.01697800  0.01897457
296 17.250083 -45.348028 -261.9102  95.05077018 0.03103500  0.03193654
297 17.483625 20.771361 -398.1813  54.76771326 0.01699200  0.01834455
298 17.497458 32.368361 -604.7667  57.65297624 0.01725900  0.01931525
299 17.543375 43.108472 -415.3481  54.30419138 0.01677800  0.01818865
300 17.383172 -47.791891 -231.4705  78.15811135 0.02543400  0.02622635
301 17.589083 30.183833 -453.4369  72.45295648 0.02275200  0.02430126
302 17.523708 -35.490778 -147.2553  66.09253636 0.02165500  0.02215707
303 17.652333 33.1265 -601.9660  61.58672574 0.01859000  0.02063939
304 17.684625 33.558389 -601.9660  60.24446645 0.01813900  0.02018748
305 17.580417 -35.736389 -140.5045  36.80925059 0.01183800  0.01231244
306 17.659387 -0.278066 -544.6757  59.32794247 0.01802600  0.01987896
307 17.603083 -46.571333 -25.5762  66.90908930 0.02234500  0.02243223
308 17.704333 -1.756694 -318.4277  53.76195116 0.01692500  0.01800629
309 17.723917 -5.821528 -543.6058  62.73007079 0.01917300  0.02102440
310 17.775782 15.172119 -130.7916  114.74547916 0.03816000  0.03861312
311 17.75475 -30.438528 -284.1764  63.04048719 0.02016100  0.02112894
312 17.815793 -0.455942 -544.6757  58.37841828 0.01770700  0.01955938
313 17.84775 1.278667 -358.5570  71.08680488 0.02261600  0.02384053
314 17.878194 1.321126 -358.5570  71.02742314 0.02259600  0.02382051
315 17.802161 -58.839 -39.1982  48.43895311 0.01608400  0.01621687
316 18.040208 32.123167 -630.9736  56.28923312 0.01671200  0.01885639
317 18.043875 32.003694 -643.6016  58.64175354 0.01745900  0.01964800
318 17.96225 -55.857333  44.9086  52.71302733 0.01780600  0.01765356
319 18.130833 -2.793417 -537.5458  63.33498167 0.01939700  0.02122812
320 18.140336 0.293416 -546.0776  62.42787886 0.01906300  0.02092263
